"ID","?CBS LOAN STATUS","ID","STATUS"
"0068p000003uz02AAA","Disbursed","0068p000003uz02AAA","Item Updated"
"0068p000003uywFAAQ","Disbursed","0068p000003uywFAAQ","Item Updated"
"0068p000003umlAAAQ","Disbursed","0068p000003umlAAAQ","Item Updated"
"0068p000003v2oYAAQ","Disbursed","0068p000003v2oYAAQ","Item Updated"
"0068p000003v8GuAAI","Disbursed","0068p000003v8GuAAI","Item Updated"
"0068p000003v323AAA","Disbursed","0068p000003v323AAA","Item Updated"
"0068p000003v32XAAQ","Disbursed","0068p000003v32XAAQ","Item Updated"
"0068p000003um8zAAA","Disbursed","0068p000003um8zAAA","Item Updated"
"0068p000003umcHAAQ","Disbursed","0068p000003umcHAAQ","Item Updated"
"0068p000003umMGAAY","Disbursed","0068p000003umMGAAY","Item Updated"
"0068p000003umPAAAY","Disbursed","0068p000003umPAAAY","Item Updated"
"0068p000003uEgiAAE","Disbursed","0068p000003uEgiAAE","Item Updated"
"0068p000003uEk3AAE","Disbursed","0068p000003uEk3AAE","Item Updated"
"0068p000003uEg4AAE","Disbursed","0068p000003uEg4AAE","Item Updated"
"0068p000003uxAnAAI","Disbursed","0068p000003uxAnAAI","Item Updated"
"0068p000003uzLrAAI","Disbursed","0068p000003uzLrAAI","Item Updated"
"0068p000003uTRdAAM","Disbursed","0068p000003uTRdAAM","Item Updated"
"0068p000003v2SfAAI","Disbursed","0068p000003v2SfAAI","Item Updated"
"0068p000003uDaNAAU","Disbursed","0068p000003uDaNAAU","Item Updated"
"0068p000003uDSqAAM","Disbursed","0068p000003uDSqAAM","Item Updated"
"0068p000003uq2xAAA","Disbursed","0068p000003uq2xAAA","Item Updated"
"0068p000003uq2WAAQ","Disbursed","0068p000003uq2WAAQ","Item Updated"
"0068p000003uviHAAQ","Disbursed","0068p000003uviHAAQ","Item Updated"
"0068p000003upORAAY","Disbursed","0068p000003upORAAY","Item Updated"
"0068p000003vB4KAAU","Disbursed","0068p000003vB4KAAU","Item Updated"
"0068p000003ukm6AAA","Disbursed","0068p000003ukm6AAA","Item Updated"
"0068p000003vBzzAAE","Disbursed","0068p000003vBzzAAE","Item Updated"
"0068p000003v0fOAAQ","Disbursed","0068p000003v0fOAAQ","Item Updated"
"0068p000003uprUAAQ","Disbursed","0068p000003uprUAAQ","Item Updated"
"0068p000003uq0QAAQ","Disbursed","0068p000003uq0QAAQ","Item Updated"
"0068p000003uq0pAAA","Disbursed","0068p000003uq0pAAA","Item Updated"
"0068p000003upxMAAQ","Disbursed","0068p000003upxMAAQ","Item Updated"
"0068p000003uwLzAAI","Disbursed","0068p000003uwLzAAI","Item Updated"
"0068p000003uwQ8AAI","Disbursed","0068p000003uwQ8AAI","Item Updated"
"0068p000003uwOMAAY","Disbursed","0068p000003uwOMAAY","Item Updated"
"0068p000003uwPZAAY","Disbursed","0068p000003uwPZAAY","Item Updated"
"0068p000003uwPPAAY","Disbursed","0068p000003uwPPAAY","Item Updated"
"0068p000003uwPjAAI","Disbursed","0068p000003uwPjAAI","Item Updated"
"0068p000003trFBAAY","Disbursed","0068p000003trFBAAY","Item Updated"
"0068p000003trFfAAI","Disbursed","0068p000003trFfAAI","Item Updated"
"0068p000003trFGAAY","Disbursed","0068p000003trFGAAY","Item Updated"
"0068p000003trDKAAY","Disbursed","0068p000003trDKAAY","Item Updated"
"0068p000003trDeAAI","Disbursed","0068p000003trDeAAI","Item Updated"
"0068p000003ukrhAAA","Disbursed","0068p000003ukrhAAA","Item Updated"
"0068p000003uvkhAAA","Disbursed","0068p000003uvkhAAA","Item Updated"
"0068p000003uvkNAAQ","Disbursed","0068p000003uvkNAAQ","Item Updated"
"0068p000003uvogAAA","Disbursed","0068p000003uvogAAA","Item Updated"
"0068p000003uvoCAAQ","Disbursed","0068p000003uvoCAAQ","Item Updated"
"0068p000003uNpTAAU","Disbursed","0068p000003uNpTAAU","Item Updated"
"0068p000003uNrUAAU","Disbursed","0068p000003uNrUAAU","Item Updated"
"0068p000003uNoWAAU","Disbursed","0068p000003uNoWAAU","Item Updated"
"0068p000003uNrtAAE","Disbursed","0068p000003uNrtAAE","Item Updated"
"0068p000003vAzKAAU","Disbursed","0068p000003vAzKAAU","Item Updated"
"0068p000003unJcAAI","Disbursed","0068p000003unJcAAI","Item Updated"
"0068p000003unJ8AAI","Disbursed","0068p000003unJ8AAI","Item Updated"
"0068p000003vAz5AAE","Disbursed","0068p000003vAz5AAE","Item Updated"
"0068p000003uqCJAAY","Disbursed","0068p000003uqCJAAY","Item Updated"
"0068p000003uqCTAAY","Disbursed","0068p000003uqCTAAY","Item Updated"
"0068p000003uqBfAAI","Disbursed","0068p000003uqBfAAI","Item Updated"
"0068p000003uqBGAAY","Disbursed","0068p000003uqBGAAY","Item Updated"
"0068p000003upRBAAY","Disbursed","0068p000003upRBAAY","Item Updated"
"0068p000003upiCAAQ","Disbursed","0068p000003upiCAAQ","Item Updated"
"0068p000003upgGAAQ","Disbursed","0068p000003upgGAAQ","Item Updated"
"0068p000003uphYAAQ","Disbursed","0068p000003uphYAAQ","Item Updated"
"0068p000003upmoAAA","Disbursed","0068p000003upmoAAA","Item Updated"
"0068p000003upmjAAA","Disbursed","0068p000003upmjAAA","Item Updated"
"0068p000003uwjrAAA","Disbursed","0068p000003uwjrAAA","Item Updated"
"0068p000003unPdAAI","Disbursed","0068p000003unPdAAI","Item Updated"
"0068p000003uqvSAAQ","Disbursed","0068p000003uqvSAAQ","Item Updated"
"0068p000003v3fzAAA","Disbursed","0068p000003v3fzAAA","Item Updated"
"0068p000003v3aGAAQ","Disbursed","0068p000003v3aGAAQ","Item Updated"
"0068p000003v3ZmAAI","Disbursed","0068p000003v3ZmAAI","Item Updated"
"0068p000003v3aVAAQ","Disbursed","0068p000003v3aVAAQ","Item Updated"
"0068p000003umN4AAI","Disbursed","0068p000003umN4AAI","Item Updated"
"0068p000003v4lhAAA","Disbursed","0068p000003v4lhAAA","Item Updated"
"0068p000003v4nsAAA","Disbursed","0068p000003v4nsAAA","Item Updated"
"0068p000003v4mBAAQ","Disbursed","0068p000003v4mBAAQ","Item Updated"
"0068p000003v4lTAAQ","Disbursed","0068p000003v4lTAAQ","Item Updated"
"0068p000003tpYpAAI","Disbursed","0068p000003tpYpAAI","Item Updated"
"0068p000003uo47AAA","Disbursed","0068p000003uo47AAA","Item Updated"
"0068p000003v15yAAA","Disbursed","0068p000003v15yAAA","Item Updated"
"0068p000003v1axAAA","Disbursed","0068p000003v1axAAA","Item Updated"
"0068p000003unv0AAA","Disbursed","0068p000003unv0AAA","Item Updated"
"0068p000003urQEAAY","Disbursed","0068p000003urQEAAY","Item Updated"
"0068p000003v3ICAAY","Disbursed","0068p000003v3ICAAY","Item Updated"
"0068p000003v3cbAAA","Disbursed","0068p000003v3cbAAA","Item Updated"
"0068p000003ulIAAAY","Disbursed","0068p000003ulIAAAY","Item Updated"
"0068p000003umkMAAQ","Disbursed","0068p000003umkMAAQ","Item Updated"
"0068p000003ulFQAAY","Disbursed","0068p000003ulFQAAY","Item Updated"
"0068p000003ulFaAAI","Disbursed","0068p000003ulFaAAI","Item Updated"
"0068p000003un7tAAA","Disbursed","0068p000003un7tAAA","Item Updated"
"0068p000003ur5JAAQ","Disbursed","0068p000003ur5JAAQ","Item Updated"
"0068p000003urU3AAI","Disbursed","0068p000003urU3AAI","Item Updated"
"0068p000003v2QFAAY","Disbursed","0068p000003v2QFAAY","Item Updated"
"0068p000003v2VAAAY","Disbursed","0068p000003v2VAAAY","Item Updated"
"0068p000003v2P8AAI","Disbursed","0068p000003v2P8AAI","Item Updated"
