"ID","?FT_STATUS","UTR_NUMBER","ID","REMARKS","FT_INNITIATED_DATE","STATUS"
"a0j8p000001ve4bAAA","Success","N263220004011774","a0j8p000001ve4bAAA","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001xNSaAAM","Success","N263220004011528","a0j8p000001xNSaAAM","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001vljVAAQ","Success","N263220004011524","a0j8p000001vljVAAQ","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001wWYyAAM","Success","N263220004011599","a0j8p000001wWYyAAM","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001vIP5AAM","Success","N263220004011918","a0j8p000001vIP5AAM","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001wudnAAA","Success","N263220004011765","a0j8p000001wudnAAA","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001xwNaAAI","Success","N263220004011296","a0j8p000001xwNaAAI","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001yDDKAA2","Success","N263220004011407","a0j8p000001yDDKAA2","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001vdRtAAI","Success","N263220004011601","a0j8p000001vdRtAAI","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001yDR3AAM","Success","N263220004011999","a0j8p000001yDR3AAM","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001viFxAAI","Success","N263220004011522","a0j8p000001viFxAAI","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001wuCHAAY","Success","N263220004011976","a0j8p000001wuCHAAY","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001yMGDAA2","Success","N263220004011301","a0j8p000001yMGDAA2","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001wXKjAAM","Success","N263220004011221","a0j8p000001wXKjAAM","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001wvItAAI","Success","N263220004011692","a0j8p000001wvItAAI","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001y2LpAAI","Success","N263220004011982","a0j8p000001y2LpAAI","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001xwsaAAA","Success","N263220004011452","a0j8p000001xwsaAAA","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001xxAqAAI","Success","N263220004011453","a0j8p000001xxAqAAI","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001xwRkAAI","Success","N263220004011454","a0j8p000001xwRkAAI","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001wTXlAAM","Success","N263220004011257","a0j8p000001wTXlAAM","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001wlM7AAI","Success","N263220004011230","a0j8p000001wlM7AAI","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001vdnxAAA","Success","N263220004011737","a0j8p000001vdnxAAA","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001wgBtAAI","Success","N263220004011515","a0j8p000001wgBtAAI","Paid","2022-09-21T12:44:27Z","Item Updated"
"a0j8p000001vmlIAAQ","Success","N263220004011727","a0j8p000001vmlIAAQ","Paid","2022-09-21T12:44:27Z","Item Updated"
