"ID","?FT_STATUS","UTR_NUMBER","ID","REMARKS","FT_INNITIATED_DATE","STATUS"
"a0j8p000001wi87AAA","Success","N262220004007273","a0j8p000001wi87AAA","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wiI4AAI","Success","N262220004007205","a0j8p000001wiI4AAI","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wlUEAAY","Success","N262220004007077","a0j8p000001wlUEAAY","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001x5rZAAQ","Success","N262220004007366","a0j8p000001x5rZAAQ","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001x7BTAAY","Success","N262220004007368","a0j8p000001x7BTAAY","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wXGSAA2","Success","N262220004007229","a0j8p000001wXGSAA2","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wbr4AAA","Success","N262220004007038","a0j8p000001wbr4AAA","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wvFEAAY","Success","N262220004007145","a0j8p000001wvFEAAY","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001woOLAAY","Success","N262220004007390","a0j8p000001woOLAAY","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001vYYkAAM","Success","N262220004007388","a0j8p000001vYYkAAM","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001v66QAAQ","Success","N262220004007112","a0j8p000001v66QAAQ","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001vXP5AAM","Success","N262220004007139","a0j8p000001vXP5AAM","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001pqW7AAI","Success","N262220004007121","a0j8p000001pqW7AAI","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001vVpKAAU","Success","N262220004007111","a0j8p000001vVpKAAU","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001vTzcAAE","Success","N262220004007251","a0j8p000001vTzcAAE","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wl3nAAA","Success","N262220004007156","a0j8p000001wl3nAAA","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wlkRAAQ","Success","N262220004007052","a0j8p000001wlkRAAQ","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wif7AAA","Success","N262220004007153","a0j8p000001wif7AAA","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wjnEAAQ","Success","N262220004007054","a0j8p000001wjnEAAQ","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wjSmAAI","Success","N262220004007053","a0j8p000001wjSmAAI","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wjJgAAI","Success","N262220004007154","a0j8p000001wjJgAAI","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wkczAAA","Success","N262220004007284","a0j8p000001wkczAAA","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wktiAAA","Success","N262220004007157","a0j8p000001wktiAAA","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wgcJAAQ","Success","N262220004007392","a0j8p000001wgcJAAQ","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001whSIAAY","Success","N262220004007149","a0j8p000001whSIAAY","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wlFBAAY","Success","N262220004007350","a0j8p000001wlFBAAY","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wjbiAAA","Success","N262220004007245","a0j8p000001wjbiAAA","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wbyDAAQ","Success","N262220004007362","a0j8p000001wbyDAAQ","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001we2dAAA","Success","N262220004007387","a0j8p000001we2dAAA","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wWmgAAE","Success","N262220004007187","a0j8p000001wWmgAAE","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wYLyAAM","Success","N262220004007075","a0j8p000001wYLyAAM","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001waIBAAY","Success","N262220004007184","a0j8p000001waIBAAY","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wZUBAA2","Success","N262220004007185","a0j8p000001wZUBAA2","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wZygAAE","Success","N262220004007039","a0j8p000001wZygAAE","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wX5AAAU","Success","N262220004007073","a0j8p000001wX5AAAU","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wZqFAAU","Success","N262220004007186","a0j8p000001wZqFAAU","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001whYYAAY","Success","N262220004007138","a0j8p000001whYYAAY","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wj2uAAA","Success","N262220004007379","a0j8p000001wj2uAAA","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wix6AAA","Success","N262220004007275","a0j8p000001wix6AAA","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001vioeAAA","Success","N262220004007115","a0j8p000001vioeAAA","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001vTX5AAM","Success","N262220004007272","a0j8p000001vTX5AAM","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001vAnLAAU","Success","N262220004007224","a0j8p000001vAnLAAU","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001v6vGAAQ","Success","N262220004007401","a0j8p000001v6vGAAQ","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001v7aoAAA","Success","N262220004007113","a0j8p000001v7aoAAA","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wc6EAAQ","Success","N262220004007363","a0j8p000001wc6EAAQ","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001wzzTAAQ","Success","N262220004007337","a0j8p000001wzzTAAQ","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001x0C3AAI","Success","N262220004007286","a0j8p000001x0C3AAI","Paid","2022-09-20T01:47:57Z","Item Updated"
"a0j8p000001x0QNAAY","Success","N262220004007359","a0j8p000001x0QNAAY","Paid","2022-09-20T01:47:57Z","Item Updated"
